          INCREMENT NUMBER    1  AT FREQUENCY (CYCLES/TIME) =   500.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
 AT NODE           5000508

 MINIMUM        -2.0624E-05
 AT NODE           5000508


          INCREMENT NUMBER    8  AT FREQUENCY (CYCLES/TIME) =   570.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456      8.6002017E-06 
   5000456 SSD  6.7409673E-06 
   5000508     -2.4103903E-05 
   5000508 SSD  1.3674383E-05 
   5000539      7.9517687E-06 
   5000539 SSD  5.7350712E-06 
   5000553      8.6820350E-06 
   5000553 SSD  6.6957858E-06 
   5000659     -5.6452388E-06 
   5000659 SSD  5.1916038E-06 
   5000764      6.5872018E-06 
   5000764 SSD  7.7437891E-06 

 MAXIMUM         1.3674E-05
 AT NODE           5000508

 MINIMUM        -2.4104E-05
 AT NODE           5000508


          INCREMENT NUMBER    9  AT FREQUENCY (CYCLES/TIME) =   580.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456      1.1161641E-05 
   5000456 SSD  6.8345337E-06 
   5000508     -2.8877574E-05 
   5000508 SSD  1.5363813E-05 
   5000539      1.0129488E-05 
   5000539 SSD  5.7116740E-06 
   5000553      1.1266204E-05 
   5000553 SSD  6.7733849E-06 
   5000659     -7.6538943E-06 
   5000659 SSD  5.4546347E-06 
   5000764      8.7763259E-06 
   5000764 SSD  8.0146544E-06 

 MAXIMUM         1.5364E-05
 AT NODE           5000508

 MINIMUM        -2.8878E-05
 AT NODE           5000508


          INCREMENT NUMBER   10  AT FREQUENCY (CYCLES/TIME) =   590.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456      1.5017501E-05 
   5000456 SSD  6.7553783E-06 
   5000508     -3.5929923E-05 
   5000508 SSD  1.7512533E-05 
   5000539      1.3333795E-05 
   5000539 SSD  5.5279497E-06 
   5000553      1.5157428E-05 
   5000553 SSD  6.6685771E-06 
   5000659     -1.1053157E-05 
   5000659 SSD  5.8845836E-06 
   5000764      1.2107154E-05 
   5000764 SSD  8.1555632E-06 

 MAXIMUM         1.7513E-05
 AT NODE           5000508

 MINIMUM        -3.5930E-05
 AT NODE           5000508


          INCREMENT NUMBER   11  AT FREQUENCY (CYCLES/TIME) =   600.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456      2.1524805E-05 
   5000456 SSD  6.2966215E-06 
   5000508     -4.7632220E-05 
   5000508 SSD  2.0501636E-05 
   5000539      1.8625204E-05 
   5000539 SSD  5.0152401E-06 
   5000553      2.1726284E-05 
   5000553 SSD  6.1638390E-06 
   5000659     -1.7393643E-05 
   5000659 SSD  6.7153283E-06 
   5000764      1.7782661E-05 
   5000764 SSD  7.9869615E-06 

 MAXIMUM         2.1726E-05
 AT NODE           5000553

 MINIMUM        -4.7632E-05
 AT NODE           5000508


          INCREMENT NUMBER   12  AT FREQUENCY (CYCLES/TIME) =   610.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456      3.5012838E-05 
   5000456 SSD  4.7940383E-06 
   5000508     -7.1535377E-05 
   5000508 SSD  2.5509695E-05 
   5000539      2.9382706E-05 
   5000539 SSD  3.6411528E-06 
   5000553      3.5345364E-05 
   5000553 SSD  4.5608253E-06 
   5000659     -3.1648019E-05 
   5000659 SSD  8.7206164E-06 
   5000764      2.9642749E-05 
   5000764 SSD  6.9246577E-06 

 MAXIMUM         3.5345E-05
 AT NODE           5000553

 MINIMUM        -7.1535E-05
 AT NODE           5000508


          INCREMENT NUMBER   13  AT FREQUENCY (CYCLES/TIME) =   620.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456      8.0814545E-05 
   5000456 SSD -1.6499797E-06 
   5000508     -1.5177851E-04 
   5000508 SSD  3.9324135E-05 
   5000539      6.5366031E-05 
   5000539 SSD -1.6913759E-06 
   5000553      8.1601245E-05 
   5000553 SSD -2.2382086E-06 
   5000659     -8.2987396E-05 
   5000659 SSD  1.6510533E-05 
   5000764      7.0162985E-05 
   5000764 SSD  1.5182567E-06 

 MAXIMUM         8.1601E-05
 AT NODE           5000553

 MINIMUM        -1.5178E-04
 AT NODE           5000508


          INCREMENT NUMBER   14  AT FREQUENCY (CYCLES/TIME) =   630.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456     -3.9187584E-04 
   5000456 SSD  7.1768753E-05 
   5000508      6.7103039E-04 
   5000508 SSD -8.4943403E-05 
   5000539     -3.0297608E-04 
   5000539 SSD  5.6231058E-05 
   5000553     -3.9582772E-04 
   5000553 SSD  7.4925409E-05 
   5000659      4.6329673E-04 
   5000659 SSD -7.0680962E-05 
   5000764     -3.4937611E-04 
   5000764 SSD  6.6982675E-05 

 MAXIMUM         6.7103E-04
 AT NODE           5000508

 MINIMUM        -3.9583E-04
 AT NODE           5000553


          INCREMENT NUMBER   15  AT FREQUENCY (CYCLES/TIME) =   640.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456     -6.0153161E-05 
   5000456 SSD  2.1381172E-05 
   5000508      9.2590058E-05 
   5000508 SSD  5.6399097E-06 
   5000539     -4.3947275E-05 
   5000539 SSD  1.5950028E-05 
   5000553     -6.0788784E-05 
   5000553 SSD  2.1924781E-05 
   5000659      8.2875140E-05 
   5000659 SSD -1.0948965E-05 
   5000764     -5.5194589E-05 
   5000764 SSD  2.2707898E-05 

 MAXIMUM         9.2590E-05
 AT NODE           5000508

 MINIMUM        -6.0789E-05
 AT NODE           5000553


          INCREMENT NUMBER   16  AT FREQUENCY (CYCLES/TIME) =   650.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456     -3.3067420E-05 
   5000456 SSD  1.7938768E-05 
   5000508      4.4642553E-05 
   5000508 SSD  1.5302861E-05 
   5000539     -2.2452380E-05 
   5000539 SSD  1.2800648E-05 
   5000553     -3.3438166E-05 
   5000553 SSD  1.8279125E-05 
   5000659      5.3727847E-05 
   5000659 SSD -7.1794955E-06 
   5000764     -3.1330949E-05 
   5000764 SSD  2.0135434E-05 

 MAXIMUM         5.3728E-05
 AT NODE           5000659

 MINIMUM        -3.3438E-05
 AT NODE           5000553


          INCREMENT NUMBER   17  AT FREQUENCY (CYCLES/TIME) =   660.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456     -2.2816814E-05 
   5000456 SSD  1.7136453E-05 
   5000508      2.5836349E-05 
   5000508 SSD  2.0906356E-05 
   5000539     -1.4034252E-05 
   5000539 SSD  1.1639168E-05 
   5000553     -2.3092136E-05 
   5000553 SSD  1.7408561E-05 
   5000659      4.4280585E-05 
   5000659 SSD -6.8104298E-06 
   5000764     -2.2431151E-05 
   5000764 SSD  1.9992678E-05 

 MAXIMUM         4.4281E-05
 AT NODE           5000659

 MINIMUM        -2.3092E-05
 AT NODE           5000553


          INCREMENT NUMBER   18  AT FREQUENCY (CYCLES/TIME) =   670.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456     -1.7276488E-05 
   5000456 SSD  1.7112594E-05 
   5000508      1.4979634E-05 
   5000508 SSD  2.5810958E-05 
   5000539     -9.2234234E-06 
   5000539 SSD  1.0956289E-05 
   5000553     -1.7504606E-05 
   5000553 SSD  1.7356139E-05 
   5000659      4.0637392E-05 
   5000659 SSD -7.7286845E-06 
   5000764     -1.7745398E-05 
   5000764 SSD  2.0654701E-05 

 MAXIMUM         4.0637E-05
 AT NODE           5000659

 MINIMUM        -1.7745E-05
 AT NODE           5000764


          INCREMENT NUMBER   19  AT FREQUENCY (CYCLES/TIME) =   680.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456     -1.3687828E-05 
   5000456 SSD  1.7448303E-05 
   5000508      7.1586799E-06 
   5000508 SSD  3.0935273E-05 
   5000539     -5.8488649E-06 
   5000539 SSD  1.0370786E-05 
   5000553     -1.3889594E-05 
   5000553 SSD  1.7681937E-05 
   5000659      3.9726721E-05 
   5000659 SSD -9.5828327E-06 
   5000764     -1.4838277E-05 
   5000764 SSD  2.1787738E-05 

 MAXIMUM         3.9727E-05
 AT NODE           5000659

 MINIMUM        -1.4838E-05
 AT NODE           5000764


          INCREMENT NUMBER   20  AT FREQUENCY (CYCLES/TIME) =   690.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456     -1.1074714E-05 
   5000456 SSD  1.7999956E-05 
   5000508      5.0403051E-07 
   5000508 SSD  3.6815057E-05 
   5000539     -3.1198755E-06 
   5000539 SSD  9.6939377E-06 
   5000553     -1.1261579E-05 
   5000553 SSD  1.8235773E-05 
   5000659      4.0582758E-05 
   5000659 SSD -1.2427790E-05 
   5000764     -1.2862458E-05 
   5000764 SSD  2.3321328E-05 

 MAXIMUM         4.0583E-05
 AT NODE           5000659

 MINIMUM        -1.2862E-05
 AT NODE           5000764


          INCREMENT NUMBER   21  AT FREQUENCY (CYCLES/TIME) =   700.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456     -9.0005680E-06 
   5000456 SSD  1.8707852E-05 
   5000508     -6.0205000E-06 
   5000508 SSD  4.4002926E-05 
   5000539     -6.4959033E-07 
   5000539 SSD  8.7587460E-06 
   5000553     -9.1801802E-06 
   5000553 SSD  1.8956325E-05 
   5000659      4.2950617E-05 
   5000659 SSD -1.6557400E-05 
   5000764     -1.1460725E-05 
   5000764 SSD  2.5292779E-05 

 MAXIMUM         4.4003E-05
 AT NODE           5000508

 MINIMUM        -1.6557E-05
 AT NODE           5000659


          INCREMENT NUMBER   22  AT FREQUENCY (CYCLES/TIME) =   710.00000    
  
  
  
  
                                       N O D E   O U T P U T
  
  
  
  
   THE FOLLOWING TABLE IS PRINTED FOR NODES BELONGING TO NODE SET POR
  
       NODE FOOT-  POR          
            NOTE
  
   5000456     -7.2372193E-06 
   5000456 SSD  1.9545071E-05 
   5000508     -1.3288975E-05 
   5000508 SSD  5.3295759E-05 
   5000539      1.8178335E-06 
